,,,Hour,Minute,Temp,Rel Humidity,Global Solar Rad
2005,1,4,19,9,59,55.5,0
2005,1,4,19,19,59,56,0
2005,1,4,19,29,59,56.5,0
2005,1,4,19,39,59,57,0
2005,1,4,19,49,59,57.5,0
2005,1,4,19,59,59,58,0
2005,1,4,20,9,59,58,0
2005,1,4,20,19,59,58,0
2005,1,4,20,29,59,58,0
2005,1,4,20,39,59,58,0
2005,1,4,20,49,59,58,0
2005,1,4,20,59,59,58,0
2005,1,4,21,9,59,57.66666667,0
2005,1,4,21,19,59,57.33333333,0
2005,1,4,21,29,59,57,0
2005,1,4,21,39,59,56.66666667,0
2005,1,4,21,49,59,56.33333333,0
2005,1,4,21,59,59,56,0
2005,1,4,22,9,59,55.83333333,0
2005,1,4,22,19,59,55.66666667,0
2005,1,4,22,29,59,55.5,0
2005,1,4,22,39,59,55.33333333,0
2005,1,4,22,49,59,55.16666667,0
2005,1,4,22,59,59,55,0
2005,1,4,23,9,59,54.16666667,0
2005,1,4,23,19,59,53.33333333,0
2005,1,4,23,29,59,52.5,0
2005,1,4,23,39,59,51.66666667,0
2005,1,4,23,49,59,50.83333333,0
2005,1,4,23,59,59,50,0
2005,1,5,0,9,59,50.5,0
2005,1,5,0,19,59,51,0
2005,1,5,0,29,59,51.5,0
2005,1,5,0,39,59,52,0
2005,1,5,0,49,59,52.5,0
2005,1,5,0,59,59,53,0
2005,1,5,1,9,59,53.83333333,0
2005,1,5,1,19,59,54.66666667,0
2005,1,5,1,29,59,55.5,0
2005,1,5,1,39,59,56.33333333,0
2005,1,5,1,49,59,57.16666667,0
2005,1,5,1,59,59,58,0
2005,1,5,2,9,59,58.5,0
2005,1,5,2,19,59,59,0
2005,1,5,2,29,59,59.5,0
2005,1,5,2,39,59,60,0
2005,1,5,2,49,59,60.5,0
2005,1,5,2,59,59,61,0
2005,1,5,3,9,59,60.5,0
2005,1,5,3,19,59,60,0
2005,1,5,3,29,59,59.5,0
2005,1,5,3,39,59,59,0
2005,1,5,3,49,59,58.5,0
2005,1,5,3,59,59,58,0
2005,1,5,4,9,59,58,0
2005,1,5,4,19,59,58,0
2005,1,5,4,29,59,58,0
2005,1,5,4,39,59,58,0
2005,1,5,4,49,59,58,0
2005,1,5,4,59,59,58,0
2005,1,5,5,9,59,59.5,0
